assembly_accession	sample_name	GenomeID	haplotype	GenHapID
GCA_042076555.1	HG02735_mat	HG02735	Hap2	HG02735_Hap2
GCA_042076465.1	HG03225_mat	HG03225	Hap2	HG03225_Hap2
GCA_046056495.1	NA19159_mat	NA19159	Hap2	NA19159_Hap2
GCA_042077875.1	HG00126_mat	HG00126	Hap2	HG00126_Hap2
GCA_042077885.1	HG00128_mat	HG00128	Hap2	HG00128_Hap2
GCA_042077855.1	HG00133_mat	HG00133	Hap2	HG00133_Hap2
GCA_042078085.1	HG00146_mat	HG00146	Hap2	HG00146_Hap2
GCA_042077745.1	HG00232_mat	HG00232	Hap2	HG00232_Hap2
GCA_042077735.1	HG00290_mat	HG00290	Hap2	HG00290_Hap2
GCA_042077765.1	HG00320_mat	HG00320	Hap2	HG00320_Hap2
GCA_042076825.1	HG00321_mat	HG00321	Hap2	HG00321_Hap2
GCA_042076735.1	HG01786_mat	HG01786	Hap2	HG01786_Hap2
